,exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
52,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroD,1.0,0.967182112409226
53,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroE,1.0,0.967182112409226
54,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroF,1.0,0.967182112409226
55,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroG,1.0,0.967182112409226
56,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroH,1.0,0.967182112409226
57,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroK,1.0,0.967182112409226
58,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aroL,1.0,0.967182112409226
59,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,artI,1.0,0.967182112409226
60,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,artJ,1.0,0.967182112409226
61,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,artP,1.0,0.967182112409226
62,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,asd,1.0,0.967182112409226
63,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,asnA,1.0,0.967182112409226
64,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,asnB,1.0,0.967182112409226
65,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,asnS,1.0,0.967182112409226
66,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aspA,1.0,0.967182112409226
67,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aspC,1.0,0.967182112409226
68,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,aspS,1.0,0.967182112409226
69,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpA,1.0,0.967182112409226
70,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpB,1.0,0.967182112409226
71,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpC,1.0,0.967182112409226
72,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpD,1.0,0.967182112409226
73,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpE,1.0,0.967182112409226
74,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpF,1.0,0.967182112409226
75,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpG,1.0,0.967182112409226
76,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,atpH,1.0,0.967182112409226
77,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,avtA,1.0,0.967182112409226
78,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,azoR,1.0,0.967182112409226
79,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,baeR,1.0,0.967182112409226
80,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,basR,1.0,0.967182112409226
81,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,basS,1.0,0.967182112409226
82,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bcp,1.0,0.967182112409226
83,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,betB,1.0,0.967182112409226
84,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bfr,1.0,0.967182112409226
85,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bglA,1.0,0.967182112409226
86,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bglX,1.0,0.967182112409226
87,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bioB,1.0,0.967182112409226
88,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bioD,1.0,0.967182112409226
89,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,bolA,1.0,0.967182112409226
90,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,borD,1.0,0.967182112409226
91,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,btuB,1.0,0.967182112409226
92,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,btuE,1.0,0.967182112409226
93,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,btuR,1.0,0.967182112409226
94,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,can,1.0,0.967182112409226
95,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,carA,1.0,0.967182112409226
96,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,carB,1.0,0.967182112409226
97,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cbl,1.0,0.967182112409226
98,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ccdA,1.0,0.967182112409226
99,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ccdB,1.0,0.967182112409226
100,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ccmE,1.0,0.967182112409226
101,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cfa,1.0,0.967182112409226
102,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cheA,1.0,0.967182112409226
103,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cheB,1.0,0.967182112409226
104,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cheW,1.0,0.967182112409226
105,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cheY,1.0,0.967182112409226
106,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cheZ,1.0,0.967182112409226
107,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cirA,1.0,0.967182112409226
108,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,clpA,1.0,0.967182112409226
109,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,clpB,1.0,0.967182112409226
110,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,clpP,1.0,0.967182112409226
111,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,clpS,1.0,0.967182112409226
112,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,clpX,1.0,0.967182112409226
113,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cmk,1.0,0.967182112409226
114,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cmoB,1.0,0.967182112409226
115,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,coaA,1.0,0.967182112409226
116,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,coaBC,1.0,0.967182112409226
117,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,codA,1.0,0.967182112409226
118,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,codB,1.0,0.967182112409226
119,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,copA,1.0,0.967182112409226
120,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,corA,1.0,0.967182112409226
121,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,corC,1.0,0.967182112409226
122,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cpdB,1.0,0.967182112409226
123,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cpxR,1.0,0.967182112409226
124,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,creA,1.0,0.967182112409226
125,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,crl,1.0,0.967182112409226
126,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,crp,1.0,0.967182112409226
127,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,crr,1.0,0.967182112409226
128,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cspA,1.0,0.967182112409226
129,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cspC,1.0,0.967182112409226
130,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cspD,1.0,0.967182112409226
131,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cspE,1.0,0.967182112409226
132,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cstA,1.0,0.967182112409226
133,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cueO,1.0,0.967182112409226
134,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,cusA,1.0,0.967182112409226
