measured_growth_rate_hr,nu_95th_lower,nu_95th_upper,nu_mean,nu_median,nu_sem,nu_std,source
0.9753630972726336,1.6646655000000001,22.101745,8.80230539325002,7.51405,0.08980862769493866,5.679996341001675,"Dai et al., 2016"
1.0979236858238794,1.9233675,22.825822500000005,8.948585815000008,7.53787,0.09147659268391369,5.785487709453249,"Dai et al., 2016"
1.1624538159800777,1.88568575,23.301930000000006,9.10164922499998,7.829175,0.09266601150800471,5.860713160973385,"Dai et al., 2016"
1.2677832212980895,2.0996507500000003,22.5123875,9.146340627499983,7.9402,0.08800788620956859,5.566107449583191,"Dai et al., 2016"
1.5669525871189307,2.4648955,23.479465000000015,9.566836152499997,8.237485,0.09127915673863522,5.773000763871883,"Dai et al., 2016"
1.7949076862145108,2.7759450000000006,23.77461750000001,9.751032377499978,8.430734999999999,0.0899668145166576,5.690000954050771,"Dai et al., 2016"
0.69,1.3238925000000001,22.000902500000002,8.489731984499992,7.354525,0.08990207986985893,5.685906775502565,"Bremmer & Dennis, 2008"
1.04,1.7644695,22.797837500000004,8.940026811249984,7.641555,0.09212432678750747,5.826454011163725,"Bremmer & Dennis, 2008"
1.39,2.3382775,22.490905,9.381419379999988,8.177109999999999,0.08790714584318236,5.5597360693811835,"Bremmer & Dennis, 2008"
1.73,2.7574617499999996,23.663040000000006,9.684477215000005,8.31006,0.09003162287942885,5.694099794806444,"Bremmer & Dennis, 2008"
0.6,1.209792,22.19349,8.474300903500023,7.116405,0.09174625789017499,5.802542834602945,"Forchammer & Lindahl, 1971"
1.04,1.8363595000000001,22.996470000000002,8.987378207500008,7.635854999999999,0.09157174725289274,5.791505812808158,"Forchammer & Lindahl, 1971"
1.46,2.374406,23.281152500000005,9.542320722500003,8.23384,0.0918390986546658,5.80841460011299,"Forchammer & Lindahl, 1971"
1.73,2.773228,22.64,9.683564444999991,8.531095,0.08670698053476672,5.483830950514946,"Forchammer & Lindahl, 1971"
0.57,1.1243915000000002,22.55098750000001,8.593539286499993,7.386010000000001,0.09342872496283376,5.9089513953597,"Scott et al., 2010"
0.71,1.32623475,21.9427975,8.538435640500003,7.286695,0.09045659990845317,5.72097770210581,"Scott et al., 2010"
1.0,1.7284355,22.568890000000014,8.892281527000014,7.59727,0.090049552887242,5.695233788069527,"Scott et al., 2010"
1.31,2.1528865,23.251635,9.212675782500002,7.875725,0.09072811898480498,5.738150076294948,"Scott et al., 2010"
1.58,2.587901,23.223412500000013,9.573596612499992,8.33377,0.08948497067929992,5.659526473999452,"Scott et al., 2010"
1.8,3.5632124999999997,23.635610000000007,10.730885324999997,9.589704999999999,0.08759739654065275,5.5401458033883415,"Dai et al., 2016"
1.28,2.8291807500000004,23.615710000000004,9.992976562500015,8.8851,0.0884053835573993,5.591247389243615,"Dai et al., 2016"
1.12,2.543486,23.39825,9.854705047500024,8.757005,0.08899150612496079,5.62831703527402,"Dai et al., 2016"
0.98,2.3243895,23.1787925,9.589435465000003,8.30688,0.08971790409798441,5.674258476923704,"Dai et al., 2016"
0.75,1.9826185,23.249045,9.402253892499973,8.25744,0.09070426311995898,5.736641298925618,"Dai et al., 2016"
0.69,1.7732297499999998,23.466472500000002,9.188688497500008,7.894235,0.09202203851945888,5.819984733064778,"Dai et al., 2016"
0.69,1.737877,22.878450000000004,9.066305687499984,7.845435,0.09121474723232653,5.768927149013834,"Dai et al., 2016"
0.55,1.5374457499999998,23.683830000000004,8.880476157499974,7.554735,0.09393069082548205,5.940698504032097,"Dai et al., 2016"
0.5,1.37042375,23.38033,8.937843240750004,7.7648600000000005,0.0940913348107523,5.950858521749307,"Dai et al., 2016"
