phi_X,growth_rate_hr,relative_growth_rate,source,protein,medium,notes
0.152023988005997,0.2584541062801940,0.409961685823756,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.1625576100838,0.42270531400966200,0.670498084291188,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.229052140596368,0.2729468599033820,0.432950191570882,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0.242817480148815,0.24879227053140100,0.39463601532567,"Scott et al., 2010",β-galactosidase,M63 + Glucose,"Digitized from Fig. 4 of Scott et al., 2010"
0,1.14310344827586,1,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0336569579288026,1.0297455641111500,0.900833223505985,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0569579288025890,0.9886675594241720,0.864897714126728,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.069902912621359,0.9422832273183800,0.824320168694814,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.103559870550162,0.8806494810847000,0.770402260979075,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.137216828478964,0.8397053900234350,0.73458390077465,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.119093851132686,0.7774020756611990,0.680080247184761,"Basan et al., 2015",β-galactosidase,Glucose-6-phosphate,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0,0.9724305323066620,1.0000000000000000,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0284789644012945,0.8900234348845000,0.9152565713597170,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0375404530744337,0.9004854368932040,0.9260151825521150,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0517799352750809,0.8489454301975230,0.8730139603738840,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.073786407766990,0.8078506863073320,0.8307541356101430,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.084142394822007,0.7976397723468360,0.8202537310863610,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.099676375404531,0.7202544358888520,0.7406744358184300,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.108737864077670,0.7203716103113490,0.7407949322637840,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.124271844660194,0.6895379979912960,0.7090871533575480,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.133333333333333,0.6586206896551730,0.6772933055617720,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.16440129449838,0.6228155339805830,0.6404730346169080,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.230420711974,0.4426347505858720,0.4551839292169450,"Basan et al., 2015",β-galactosidase,Glucose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0,0.9051724137931040,1.0000000000000000,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.031067961165049,0.8435051891529960,0.9318723994452140,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.054368932038835,0.8075995982591230,0.8922052704576970,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.081553398058252,0.7613993973886850,0.8411650485436900,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.089320388349515,0.6994308670907270,0.7727045769764220,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.111326860841424,0.6428188818212250,0.7101618122977340,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.128155339805825,0.6016571811181790,0.6646879334257970,"Basan et al., 2015",β-galactosidase,Mannitol,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0,0.868965517241379,1,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0388349514563107,0.7970539002343490,0.917244567730005,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.0569579288025890,0.7507365249414130,0.863942826321468,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.08025889967638,0.6682792099096080,0.769051471721375,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.122977346278317,0.5964178105122200,0.686353829557714,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.186407766990291,0.5299966521593570,0.609916782246879,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0.18770226537217,0.4834616672246400,0.556364617044229,"Basan et al., 2015",β-galactosidase,Lactose,"Digitized from Fig. S4B. Growth rate at 0 expression taken as y intercept of linear fit, as not all growth rates are reported."
0,0.5471072463768110,1.0000000000000000,"Bentley et al., 1990",β-lactamase,Μ9,Digitized from Fig. 10
0.13280000000000000,0.44660869565217400,0.816309231160466,"Bentley et al., 1990",β-lactamase,Μ9,Digitized from Fig. 10
0.21120000000000000,0.3932985507246370,0.7188692040349240,"Bentley et al., 1990",β-lactamase,Μ9,Digitized from Fig. 10
0.2304,0.30026666666666600,0.548825972704924,"Bentley et al., 1990",β-lactamase,Μ9,Digitized from Fig. 10
0.40000000000000000,0.22824347826086900,0.417182334491819,"Bentley et al., 1990",β-lactamase,Μ9,Digitized from Fig. 10
0,1.2949333333333300,1.0000000000000000,"Bentley et al., 1990",β-lactamase,LB,Digitized from Fig. 10
0.052800000000000000,1.1782028985507200,0.9098560275051920,"Bentley et al., 1990",β-lactamase,LB,Digitized from Fig. 10
0.07680000000000000,1.114086956521740,0.860343098631906,"Bentley et al., 1990",β-lactamase,LB,Digitized from Fig. 10
0.12480000000000000,1.0090434782608700,0.7792242676026100,"Bentley et al., 1990",β-lactamase,LB,Digitized from Fig. 10
0.17920000000000000,0.8923130434782610,0.6890802951078020,"Bentley et al., 1990",β-lactamase,LB,Digitized from Fig. 10
