gene,counts,phase,time,fraction,cog_letter,sector
argE,814,shift,5.0,0.0001798576649746,E,metabolic
argF,0,shift,5.0,0.0,E,metabolic
argG,610,shift,5.0,0.0001347827710498,E,metabolic
argH,402,shift,5.0,8.882405567544838e-05,E,metabolic
argI,1269,shift,5.0,0.000280392354856,E,metabolic
argK,17,shift,5.0,3.756241160404534e-06,O,other
argO,172,shift,5.0,3.8004322328798815e-05,E,metabolic
argP,460,shift,5.0,0.0001016394666932,K,other
argR,374,shift,5.0,8.263730552889975e-05,K,other
argS,446,shift,5.0,9.854609162002484e-05,J,ribosomal
argT,12194,shift,5.0,0.0026943296888219,E,metabolic
ariR,7,shift,5.0,1.546687536637161e-06,S,other
arnA,914,shift,5.0,0.0002019532012123,J,ribosomal
arnB,2401,shift,5.0,0.0005305138250665,M,other
arnC,587,shift,5.0,0.0001297007977151,M,other
arnD,321,shift,5.0,7.092667132293267e-05,G,metabolic
arnE,49,shift,5.0,1.0826812756460126e-05,V,other
arnF,17,shift,5.0,3.756241160404534e-06,S,other
arnT,192,shift,5.0,4.242342957633356e-05,M,other
aroA,219,shift,5.0,4.838922436050547e-05,E,metabolic
aroB,1250,shift,5.0,0.0002761942029709,E,metabolic
aroC,582,shift,5.0,0.0001285960209032,E,metabolic
aroD,177,shift,5.0,3.91090991406825e-05,E,metabolic
aroE,266,shift,5.0,5.877412639221212e-05,E,metabolic
aroF,7224,shift,5.0,0.0015961815378095,E,metabolic
aroG,441,shift,5.0,9.744131480814116e-05,E,metabolic
aroH,53,shift,5.0,1.1710634205967077e-05,E,metabolic
aroK,517,shift,5.0,0.0001142339223487,E,metabolic
aroL,937,shift,5.0,0.000207035174547,E,metabolic
aroM,294,shift,5.0,6.496087653876077e-05,S,other
aroP,2791,shift,5.0,0.0006166864163934,E,metabolic
arpA,4,shift,5.0,8.838214495069491e-07,S,other
arpB_1,1,shift,5.0,2.209553623767373e-07,S,other
arpB_2,1,shift,5.0,2.209553623767373e-07,S,other
arsB,33,shift,5.0,7.291526958432331e-06,P,metabolic
arsC,62,shift,5.0,1.3699232467357712e-05,P,metabolic
arsR,16,shift,5.0,3.5352857980277964e-06,K,other
artI,282,shift,5.0,6.230941219023991e-05,E,metabolic
artJ,31,shift,5.0,6.849616233678856e-06,E,metabolic
artM,137,shift,5.0,3.027088464561301e-05,E,metabolic
artP,417,shift,5.0,9.213838611109944e-05,E,metabolic
artQ,54,shift,5.0,1.1931589568343811e-05,E,metabolic
ascB,182,shift,5.0,4.021387595256619e-05,G,metabolic
ascF,126,shift,5.0,2.78403756594689e-05,G,metabolic
ascG,240,shift,5.0,5.302928697041695e-05,K,other
asd,2465,shift,5.0,0.0005446549682586,E,metabolic
aslA,87,shift,5.0,1.9223116526776145e-05,P,metabolic
aslB,45,shift,5.0,9.942991306953178e-06,O,other
asmA,1394,shift,5.0,0.0003080117751531,M,other
asnA,80,shift,5.0,1.7676428990138983e-05,E,metabolic
asnB,683,shift,5.0,0.0001509125125033,E,metabolic
asnC,35,shift,5.0,7.733437683185805e-06,K,other
asnS,928,shift,5.0,0.0002050465762856,J,ribosomal
aspA,7629,shift,5.0,0.0016856684595721,E,metabolic
aspC,1787,shift,5.0,0.0003948472325672,E,metabolic
aspS,1754,shift,5.0,0.0003875557056087,J,ribosomal
asr,32,shift,5.0,7.070571596055593e-06,S,other
astA,1981,shift,5.0,0.0004377125728683,E,metabolic
astB,1195,shift,5.0,0.0002640416580402,E,metabolic
astC,4475,shift,5.0,0.0009887752466358,E,metabolic
astD,1667,shift,5.0,0.000368332589082,C,metabolic
astE,862,shift,5.0,0.0001904635223687,E,metabolic
atl,203,shift,5.0,4.485393856247767e-05,K,other
atoA,5,shift,5.0,1.1047768118836864e-06,I,other
atoB,30,shift,5.0,6.628660871302119e-06,I,other
atoC,289,shift,5.0,6.385609972687707e-05,T,other
atoD,4,shift,5.0,8.838214495069491e-07,I,other
atoE,8,shift,5.0,1.7676428990138982e-06,I,other
atoS,269,shift,5.0,5.943699247934233e-05,T,other
atpA,1767,shift,5.0,0.0003904281253196,C,metabolic
atpB,1954,shift,5.0,0.0004317467780841,C,metabolic
atpC,1148,shift,5.0,0.0002536567560084,C,metabolic
atpD,1079,shift,5.0,0.0002384108360044,C,metabolic
atpE,1680,shift,5.0,0.0003712050087929,S,other
atpF,1440,shift,5.0,0.0003181757218225,C,metabolic
atpG,524,shift,5.0,0.0001157806098854,C,metabolic
atpH,517,shift,5.0,0.0001142339223487,C,metabolic
atpI,776,shift,5.0,0.0001714613612043,C,metabolic
avtA,625,shift,5.0,0.0001380971014854,E,metabolic
azoR,437,shift,5.0,9.65574933586342e-05,C,metabolic
azuC,16,shift,5.0,3.5352857980277964e-06,S,other
bacA,218,shift,5.0,4.816826899812873e-05,I,other
baeR,132,shift,5.0,2.9166107833729323e-05,T,other
baeS,40,shift,5.0,8.838214495069492e-06,T,other
bamA,2397,shift,5.0,0.000529630003617,M,other
bamB,823,shift,5.0,0.000181846263236,M,other
bamC,1226,shift,5.0,0.0002708912742738,S,other
bamD,981,shift,5.0,0.0002167572104915,M,other
bamE,2680,shift,5.0,0.0005921603711696,M,other
barA,156,shift,5.0,3.4469036530771014e-05,T,other
basR,439,shift,5.0,9.699940408338768e-05,T,other
basS,267,shift,5.0,5.899508175458886e-05,T,other
bax,4920,shift,5.0,0.0010871003828935,R,other
bcp,648,shift,5.0,0.0001431790748201,O,other
bcr,103,shift,5.0,2.275840232480394e-05,G,metabolic
bcsA,189,shift,5.0,4.176056348920335e-05,N,other
bcsB,250,shift,5.0,5.523884059418432e-05,S,other
bcsC,909,shift,5.0,0.0002008484244004,R,other
bcsE,970,shift,5.0,0.0002143267015054,S,other
bcsF,28,shift,5.0,6.186750146548644e-06,S,other
bcsG,174,shift,5.0,3.844623305355229e-05,S,other
bcsQ,291,shift,5.0,6.429801045163055e-05,S,other
bcsZ,76,shift,5.0,1.6792607540632035e-05,G,metabolic
bdcA,29,shift,5.0,6.4077055089253815e-06,I,other
bdcR,108,shift,5.0,2.3863179136687622e-05,K,other
bdm,74,shift,5.0,1.635069681587856e-05,S,other
bepA,613,shift,5.0,0.0001354456371369,R,other
betA,171,shift,5.0,3.778336696642208e-05,I,other
betB,317,shift,5.0,7.004284987342572e-05,C,metabolic
betI,289,shift,5.0,6.385609972687707e-05,K,other
betT,319,shift,5.0,7.048476059817919e-05,M,other
bfd,66,shift,5.0,1.4583053916864662e-05,P,metabolic
bfr,5167,shift,5.0,0.0011416763574006,P,metabolic
bglA,762,shift,5.0,0.000168367986131,G,metabolic
bglB,20,shift,5.0,4.419107247534746e-06,G,metabolic
bglF,13,shift,5.0,2.8724197108975847e-06,G,metabolic
bglG,17,shift,5.0,3.756241160404534e-06,K,other
bglH,36,shift,5.0,7.954393045562543e-06,G,metabolic
bglJ,25,shift,5.0,5.523884059418432e-06,T,other
bglX,684,shift,5.0,0.0001511334678656,G,metabolic
bhsA,19,shift,5.0,4.198151885158009e-06,S,other
bioA,73,shift,5.0,1.612974145350182e-05,H,metabolic
bioB,271,shift,5.0,5.98789032040958e-05,H,metabolic
bioC,38,shift,5.0,8.396303770316017e-06,H,metabolic
bioD,25,shift,5.0,5.523884059418432e-06,H,metabolic
bioF,102,shift,5.0,2.2537446962427205e-05,H,metabolic
bioH,153,shift,5.0,3.3806170443640804e-05,H,metabolic
bipA,1228,shift,5.0,0.0002713331849986,T,other
birA,312,shift,5.0,6.893807306154203e-05,H,metabolic
bisC,815,shift,5.0,0.000180078620337,C,metabolic
blc,936,shift,5.0,0.0002068142191846,M,other
blr,106,shift,5.0,2.3421268411934157e-05,S,other
bluF,113,shift,5.0,2.4967955948571312e-05,T,other
bluR,628,shift,5.0,0.0001387599675725,K,other
bolA,11268,shift,5.0,0.002489725023261,T,other
borD,141,shift,5.0,3.1154706095119955e-05,S,other
brnQ,225,shift,5.0,4.971495653476589e-05,E,metabolic
bsmA,2045,shift,5.0,0.0004518537160604,S,other
bssR,2805,shift,5.0,0.0006197797914667,S,other
bssS,4690,shift,5.0,0.0010362806495468,S,other
btuB,302,shift,5.0,6.672851943777466e-05,H,metabolic
btuC,125,shift,5.0,2.761942029709216e-05,H,metabolic
btuD,256,shift,5.0,5.656457276844474e-05,H,metabolic
btuE,272,shift,5.0,6.0099858566472544e-05,V,other
btuF,24,shift,5.0,5.302928697041695e-06,P,metabolic
btuR,543,shift,5.0,0.0001199787617705,H,metabolic
cadA,36,shift,5.0,7.954393045562543e-06,E,metabolic
cadB,5,shift,5.0,1.1047768118836864e-06,E,metabolic
cadC,41,shift,5.0,9.05916985744623e-06,K,other
caiA,72,shift,5.0,1.5908786091125086e-05,I,other
caiB,28,shift,5.0,6.186750146548644e-06,I,other
caiC,79,shift,5.0,1.7455473627762245e-05,I,other
caiD,22,shift,5.0,4.86101797228822e-06,I,other
caiE,37,shift,5.0,8.17534840793928e-06,R,other
caiF,90,shift,5.0,1.988598261390636e-05,S,other
caiT,4,shift,5.0,8.838214495069491e-07,M,other
can,1138,shift,5.0,0.0002514472023847,P,metabolic
carA,20,shift,5.0,4.419107247534746e-06,E,metabolic
carB,111,shift,5.0,2.452604522381784e-05,E,metabolic
cas1,279,shift,5.0,6.16465461031097e-05,V,other
cas2,107,shift,5.0,2.364222377431089e-05,S,other
cas3,122,shift,5.0,2.695655420996195e-05,V,other
casA,65,shift,5.0,1.4362098554487924e-05,S,other
casB,52,shift,5.0,1.148967884359034e-05,S,other
casC,71,shift,5.0,1.5687830728748348e-05,S,other
casD,59,shift,5.0,1.30363663802275e-05,S,other
casE,218,shift,5.0,4.816826899812873e-05,S,other
cbeA,1,shift,5.0,2.209553623767373e-07,S,other
cbl,82,shift,5.0,1.811833971489246e-05,K,other
cbpA,825,shift,5.0,0.0001822881739608,O,other
cbpM,263,shift,5.0,5.811126030508191e-05,S,other
cbrA,17,shift,5.0,3.756241160404534e-06,C,metabolic
cbrB,28,shift,5.0,6.186750146548644e-06,S,other
cbrC,75,shift,5.0,1.6571652178255297e-05,S,other
cbtA,2,shift,5.0,4.419107247534746e-07,S,other
cca,825,shift,5.0,0.0001822881739608,J,ribosomal
ccmA,144,shift,5.0,3.181757218225017e-05,O,other
ccmB,10,shift,5.0,2.209553623767373e-06,O,other
ccmC,7,shift,5.0,1.546687536637161e-06,O,other
ccmD,1,shift,5.0,2.209553623767373e-07,U,other
ccmE,12,shift,5.0,2.6514643485208475e-06,C,metabolic
ccmF,46,shift,5.0,1.0163946669329916e-05,C,metabolic
ccmG,20,shift,5.0,4.419107247534746e-06,O,other
ccmH,65,shift,5.0,1.4362098554487924e-05,C,metabolic
cdaR,675,shift,5.0,0.0001491448696042,K,other
cdd,945,shift,5.0,0.000208802817446,F,metabolic
cdgI,100,shift,5.0,2.209553623767373e-05,T,other
cdh,71,shift,5.0,1.5687830728748348e-05,I,other
cdsA,446,shift,5.0,9.854609162002484e-05,I,other
cedA,31,shift,5.0,6.849616233678856e-06,S,other
cfa,4586,shift,5.0,0.0010133012918597,I,other
chaA,325,shift,5.0,7.181049277243963e-05,P,metabolic
chaB,280,shift,5.0,6.186750146548644e-05,P,metabolic
chaC,764,shift,5.0,0.0001688098968558,P,metabolic
chbA,101,shift,5.0,2.2316491600050467e-05,G,metabolic
chbB,265,shift,5.0,5.855317102983538e-05,G,metabolic
chbC,95,shift,5.0,2.099075942579004e-05,G,metabolic
chbF,85,shift,5.0,1.878120580202267e-05,G,metabolic
chbG,166,shift,5.0,3.667859015453839e-05,S,other
chbR,80,shift,5.0,1.7676428990138983e-05,R,other
cheA,7749,shift,5.0,0.0017121831030573,N,other
cheB,3882,shift,5.0,0.0008577487167464,N,other
cheR,3688,shift,5.0,0.0008148833764454,N,other
cheW,4346,shift,5.0,0.0009602720048893,N,other
cheY,3654,shift,5.0,0.0008073708941245,T,other
cheZ,4413,shift,5.0,0.0009750760141685,N,other
chiA,263,shift,5.0,5.811126030508191e-05,G,metabolic
chiP,188,shift,5.0,4.153960812682661e-05,S,other
cho,31,shift,5.0,6.849616233678856e-06,L,other
chpB,350,shift,5.0,7.733437683185805e-05,V,other
chpS,358,shift,5.0,7.910201973087195e-05,T,other
cirA,173,shift,5.0,3.822527769117555e-05,P,metabolic
citC,0,shift,5.0,0.0,C,metabolic
citD,1,shift,5.0,2.209553623767373e-07,C,metabolic
citE,0,shift,5.0,0.0,G,metabolic
citF,0,shift,5.0,0.0,C,metabolic
citG,4,shift,5.0,8.838214495069491e-07,H,metabolic
citT,31,shift,5.0,6.849616233678856e-06,G,metabolic
citX,6,shift,5.0,1.3257321742604238e-06,H,metabolic
clcA,629,shift,5.0,0.0001389809229349,P,metabolic
clcB,22,shift,5.0,4.86101797228822e-06,P,metabolic
clpA,51893,shift,5.0,0.011466036619816,O,other
clpB,14611,shift,5.0,0.0032283787996865,O,other
clpP,1422,shift,5.0,0.0003141985252997,O,other
clpS,5167,shift,5.0,0.0011416763574006,O,other
clpX,4538,shift,5.0,0.0010026954344656,O,other
clsA,1241,shift,5.0,0.0002742056047095,I,other
clsB,384,shift,5.0,8.484685915266712e-05,I,other
clsC,155,shift,5.0,3.424808116839428e-05,I,other
cmk,786,shift,5.0,0.0001736709148281,F,metabolic
cmoA,122,shift,5.0,2.695655420996195e-05,H,metabolic
cmoB,131,shift,5.0,2.8945152471352585e-05,Q,other
cmoM,355,shift,5.0,7.843915364374174e-05,H,metabolic
cmtA,24,shift,5.0,5.302928697041695e-06,G,metabolic
cmtB,11,shift,5.0,2.43050898614411e-06,G,metabolic
cnu,30,shift,5.0,6.628660871302119e-06,S,other
coaA,352,shift,5.0,7.777628755661152e-05,H,metabolic
coaD,132,shift,5.0,2.9166107833729323e-05,H,metabolic
coaE,356,shift,5.0,7.866010900611847e-05,H,metabolic
cobB,464,shift,5.0,0.0001025232881428,O,other
cobC,31,shift,5.0,6.849616233678856e-06,G,metabolic
cobS,420,shift,5.0,9.280125219822966e-05,H,metabolic
cobT,567,shift,5.0,0.0001252816904676,H,metabolic
cobU,355,shift,5.0,7.843915364374174e-05,H,metabolic
codA,126,shift,5.0,2.78403756594689e-05,F,metabolic
codB,19,shift,5.0,4.198151885158009e-06,F,metabolic
cof,183,shift,5.0,4.043483131494292e-05,H,metabolic
comR,404,shift,5.0,8.926596640020187e-05,K,other
copA,1928,shift,5.0,0.0004260019386623,P,metabolic
corA,1246,shift,5.0,0.0002753103815214,P,metabolic
cpdA,1248,shift,5.0,0.0002757522922461,T,other
cpdB,1387,shift,5.0,0.0003064650876165,F,metabolic
cpoB,355,shift,5.0,7.843915364374174e-05,R,other
cpsB,0,shift,5.0,0.0,G,metabolic
cpsG,0,shift,5.0,0.0,G,metabolic
cptA,162,shift,5.0,3.579476870503144e-05,S,other
cpxA,382,shift,5.0,8.440494842791364e-05,T,other
cpxP,2364,shift,5.0,0.0005223384766586,O,other
cpxR,942,shift,5.0,0.0002081399513588,T,other
cra,1435,shift,5.0,0.0003170709450106,K,other
crcB,237,shift,5.0,5.236642088328674e-05,D,other
creA,164,shift,5.0,3.623667942978492e-05,T,other
creB,218,shift,5.0,4.816826899812873e-05,T,other
creC,160,shift,5.0,3.5352857980277966e-05,T,other
creD,134,shift,5.0,2.96080185584828e-05,V,other
