,,,downshift,downshift,downshift,downshift,downshift,downshift,downshift,downshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
cheW,motility,C up,"0,021747141","0,039592065","0,019206927","0,040338846","0,042925678","0,062962821","0,04007014","0,049100334","0,083953521","0,093923627","0,081831073","0,052519208","0,081443523","0,043790753","0,059256313","0,027100865"
cheY,motility,C up,"0,113721055","0,101238488","0,118165056","0,118842052","0,110873251","0,124455247","0,12832077","0,127633386","0,184343811","0,171732777","0,170586758","0,171228661","0,132986629","0,145573997","0,131909758","0,139669409"
cheZ,motility,C up,"0,077928559","0,083700782","0,060544276","0,073048515","0,060268477","0,074522541","0,086732238","0,081025858","0,146918661","0,15416426","0,140676508","0,134594151","0,137275719","0,155181782","0,133063991","0,117518059"
gltA,TCA,C up,"0,445376684","0,513099644","0,568626788","0,512295563","0,726068969","0,758016408","0,827252244","0,756103923","1,226826693","1,135438057","1,085065313","1,21475294","1,013114043","0,800484094","0,689001805","0,683199939"
clpA,,C up,"0,014045354",0,"0,091581322","0,049879936","0,033261975","0,016723942","0,021812658","0,020879666","0,03148257","0,03095977","0,011574074","0,029555735","0,015110434","0,022278206","0,009934433","0,03126595"
clpB,,C up,"0,075212121","0,092469635","0,127003611","0,22364428","0,191892756","0,20167946","0,198313917","0,175521671","0,125930281","0,15416426","0,152900625","0,141186414","0,122485737","0,106969966","0,133063991","0,116733629"
cpxR,,C up,"0,021747141","0,022054359","0,023660239","0,049879936","0,031838353","0,028283662","0,023331049","0,028220668","0,03148257","0,021336058","0,02347317","0,023449984","0,041362666","0,028230587","0,022177332","0,016417405"
crp,,C up,"0,062524985","0,061646423","0,064997588","0,078090871","0,082443127","0,117067595","0,098397763","0,092071715","0,104345772","0,111492145","0,111578812","0,111144167","0,101483952","0,109859712","0,082587878","0,090417194"
cspD,,C up,"0,014045354",0,"0,026583734","0,046337158","0,052589382","0,045007604","0,034996574","0,054017239","0,02613612","0,026147914","0,017523622","0,017830744","0,01018044","0,016325825","0,011088666","0,01068346"
cspE,,C up,"0,173529602","0,149863857","0,141825295","0,136012319","0,130200657","0,154448426","0,132394339","0,205091806","0,182754133","0,214629761","0,146138523","0,185167314","0,202006546","0,157305868","0,129601292","0,145646289"
cstA,,C up,0,0,"0,013291867","0,028210935","0,038093827","0,041074657","0,046662098","0,038054477","0,03148257","0,021336058","0,035209755","0,029069224","0,01018044","0,016325825","0,011088666","0,01068346"
cycA,Catabolic,C up,0,0,0,0,0,0,0,"0,012257906",0,0,0,0,0,0,0,0
cydA,,C up,"0,012687135",0,0,"0,01158429","0,009663703",0,"0,011665525","0,012257906","0,020590961","0,011712345",0,"0,012211503","0,01018044","0,010373444",0,0
cysB,,C up,"0,014045354","0,013285506","0,014753615","0,01158429","0,011087325","0,016723942","0,020294267","0,020879666","0,02098838",0,"0,029260207","0,011724992","0,024970423","0,03265165","0,021023099","0,025532005"
