gene,counts,phase,time,fraction
bioF,102,shift,5.0,2.2537446962427205e-05
bioH,153,shift,5.0,3.3806170443640804e-05
bipA,1228,shift,5.0,0.0002713331849986334
birA,312,shift,5.0,6.893807306154203e-05
bisC,815,shift,5.0,0.0001800786203370409
blc,936,shift,5.0,0.0002068142191846261
blr,106,shift,5.0,2.3421268411934153e-05
bluF,113,shift,5.0,2.4967955948571312e-05
bluR,628,shift,5.0,0.00013875996757259102
bolA,11268,shift,5.0,0.0024897250232610757
borD,141,shift,5.0,3.1154706095119955e-05
brnQ,225,shift,5.0,4.971495653476589e-05
bsmA,2045,shift,5.0,0.00045185371606042775
bssR,2805,shift,5.0,0.0006197797914667481
bssS,4690,shift,5.0,0.001036280649546898
btuB,302,shift,5.0,6.672851943777466e-05
btuC,125,shift,5.0,2.761942029709216e-05
btuD,256,shift,5.0,5.656457276844474e-05
btuE,272,shift,5.0,6.0099858566472544e-05
btuF,24,shift,5.0,5.302928697041695e-06
btuR,543,shift,5.0,0.00011997876177056835
cadA,36,shift,5.0,7.954393045562543e-06
cadB,5,shift,5.0,1.1047768118836864e-06
cadC,41,shift,5.0,9.05916985744623e-06
caiA,72,shift,5.0,1.5908786091125086e-05
caiB,28,shift,5.0,6.186750146548644e-06
caiC,79,shift,5.0,1.7455473627762245e-05
caiD,22,shift,5.0,4.86101797228822e-06
caiE,37,shift,5.0,8.17534840793928e-06
caiF,90,shift,5.0,1.9885982613906356e-05
caiT,4,shift,5.0,8.838214495069491e-07
can,1138,shift,5.0,0.00025144720238472705
carA,20,shift,5.0,4.419107247534746e-06
carB,111,shift,5.0,2.452604522381784e-05
cas1,279,shift,5.0,6.16465461031097e-05
cas2,107,shift,5.0,2.364222377431089e-05
cas3,122,shift,5.0,2.695655420996195e-05
casA,65,shift,5.0,1.4362098554487924e-05
casB,52,shift,5.0,1.1489678843590339e-05
casC,71,shift,5.0,1.5687830728748348e-05
casD,59,shift,5.0,1.30363663802275e-05
casE,218,shift,5.0,4.816826899812873e-05
cbeA,1,shift,5.0,2.2095536237673728e-07
cbl,82,shift,5.0,1.811833971489246e-05
cbpA,825,shift,5.0,0.00018228817396080826
cbpM,263,shift,5.0,5.8111260305081905e-05
cbrA,17,shift,5.0,3.756241160404534e-06
cbrB,28,shift,5.0,6.186750146548644e-06
cbrC,75,shift,5.0,1.6571652178255297e-05
cbtA,2,shift,5.0,4.4191072475347456e-07
cca,825,shift,5.0,0.00018228817396080826
ccmA,144,shift,5.0,3.181757218225017e-05
ccmB,10,shift,5.0,2.209553623767373e-06
ccmC,7,shift,5.0,1.546687536637161e-06
ccmD,1,shift,5.0,2.2095536237673728e-07
ccmE,12,shift,5.0,2.6514643485208475e-06
ccmF,46,shift,5.0,1.0163946669329916e-05
ccmG,20,shift,5.0,4.419107247534746e-06
ccmH,65,shift,5.0,1.4362098554487924e-05
cdaR,675,shift,5.0,0.00014914486960429768
cdd,945,shift,5.0,0.00020880281744601673
cdgI,100,shift,5.0,2.209553623767373e-05
cdh,71,shift,5.0,1.5687830728748348e-05
cdsA,446,shift,5.0,9.854609162002483e-05
cedA,31,shift,5.0,6.849616233678856e-06
cfa,4586,shift,5.0,0.0010133012918597173
chaA,325,shift,5.0,7.181049277243963e-05
chaB,280,shift,5.0,6.186750146548644e-05
chaC,764,shift,5.0,0.00016880989685582728
chbA,101,shift,5.0,2.2316491600050467e-05
chbB,265,shift,5.0,5.855317102983538e-05
chbC,95,shift,5.0,2.0990759425790042e-05
chbF,85,shift,5.0,1.878120580202267e-05
chbG,166,shift,5.0,3.667859015453839e-05
chbR,80,shift,5.0,1.7676428990138983e-05
cheA,7749,shift,5.0,0.0017121831030573373
cheB,3882,shift,5.0,0.0008577487167464942
cheR,3688,shift,5.0,0.0008148833764454072
cheW,4346,shift,5.0,0.0009602720048893003
cheY,3654,shift,5.0,0.0008073708941245981
cheZ,4413,shift,5.0,0.0009750760141685416
chiA,263,shift,5.0,5.8111260305081905e-05
chiP,188,shift,5.0,4.153960812682661e-05
cho,31,shift,5.0,6.849616233678856e-06
chpB,350,shift,5.0,7.733437683185805e-05
chpS,358,shift,5.0,7.910201973087195e-05
cirA,173,shift,5.0,3.822527769117555e-05
citC,0,shift,5.0,0.0
citD,1,shift,5.0,2.2095536237673728e-07
citE,0,shift,5.0,0.0
citF,0,shift,5.0,0.0
citG,4,shift,5.0,8.838214495069491e-07
citT,31,shift,5.0,6.849616233678856e-06
citX,6,shift,5.0,1.3257321742604238e-06
clcA,629,shift,5.0,0.00013898092293496776
clcB,22,shift,5.0,4.86101797228822e-06
clpA,51893,shift,5.0,0.011466036619816029
clpB,14611,shift,5.0,0.0032283787996865085
clpP,1422,shift,5.0,0.0003141985252997204
clpS,5167,shift,5.0,0.0011416763574006016
clpX,4538,shift,5.0,0.0010026954344656339
clsA,1241,shift,5.0,0.00027420560470953095
clsB,384,shift,5.0,8.484685915266712e-05
clsC,155,shift,5.0,3.424808116839428e-05
cmk,786,shift,5.0,0.0001736709148281155
cmoA,122,shift,5.0,2.695655420996195e-05
cmoB,131,shift,5.0,2.8945152471352585e-05
cmoM,355,shift,5.0,7.843915364374174e-05
cmtA,24,shift,5.0,5.302928697041695e-06
cmtB,11,shift,5.0,2.43050898614411e-06
cnu,30,shift,5.0,6.628660871302119e-06
coaA,352,shift,5.0,7.777628755661152e-05
coaD,132,shift,5.0,2.9166107833729323e-05
coaE,356,shift,5.0,7.866010900611847e-05
cobB,464,shift,5.0,0.0001025232881428061
cobC,31,shift,5.0,6.849616233678856e-06
cobS,420,shift,5.0,9.280125219822966e-05
cobT,567,shift,5.0,0.00012528169046761004
cobU,355,shift,5.0,7.843915364374174e-05
codA,126,shift,5.0,2.78403756594689e-05
codB,19,shift,5.0,4.198151885158009e-06
cof,183,shift,5.0,4.043483131494292e-05
comR,404,shift,5.0,8.926596640020187e-05
copA,1928,shift,5.0,0.00042600193866234947
corA,1246,shift,5.0,0.0002753103815214147
cpdA,1248,shift,5.0,0.0002757522922461681
cpdB,1387,shift,5.0,0.0003064650876165346
cpoB,355,shift,5.0,7.843915364374174e-05
cpsB,0,shift,5.0,0.0
cpsG,0,shift,5.0,0.0
cptA,162,shift,5.0,3.579476870503144e-05
cpxA,382,shift,5.0,8.440494842791364e-05
cpxP,2364,shift,5.0,0.0005223384766586069
cpxR,942,shift,5.0,0.00020813995135888653
cra,1435,shift,5.0,0.000317070945010618
crcB,237,shift,5.0,5.236642088328674e-05
creA,164,shift,5.0,3.623667942978492e-05
creB,218,shift,5.0,4.816826899812873e-05
creC,160,shift,5.0,3.5352857980277966e-05
creD,134,shift,5.0,2.9608018558482796e-05
crfC,9738,shift,5.0,0.002151663318824668
crl,1683,shift,5.0,0.00037186787488004884
crp,3212,shift,5.0,0.0007097086239540802
crr,6722,shift,5.0,0.0014852619458964281
csdA,202,shift,5.0,4.4632983200100934e-05
csdE,208,shift,5.0,4.5958715374361355e-05
csgA,182,shift,5.0,4.021387595256619e-05
csgB,29,shift,5.0,6.4077055089253815e-06
csgC,6,shift,5.0,1.3257321742604238e-06
csgD,25,shift,5.0,5.523884059418432e-06
csgE,5,shift,5.0,1.1047768118836864e-06
csgF,1,shift,5.0,2.2095536237673728e-07
csgG,30,shift,5.0,6.628660871302119e-06
csiD,10705,shift,5.0,0.0023653271542429725
csiE,70,shift,5.0,1.546687536637161e-05
csiR,1230,shift,5.0,0.0002717750957233869
cspA,603,shift,5.0,0.0001332360835131726
cspB,106,shift,5.0,2.3421268411934153e-05
cspC,2691,shift,5.0,0.0005945908801558
cspD,29111,shift,5.0,0.006432231554149199
cspE,33286,shift,5.0,0.007354720192072077
cspF,1,shift,5.0,2.2095536237673728e-07
cspG,64,shift,5.0,1.4141143192111186e-05
cspH,2,shift,5.0,4.4191072475347456e-07
cspI,14,shift,5.0,3.093375073274322e-06
csrA,4734,shift,5.0,0.0010460026854914744
csrD,502,shift,5.0,0.00011091959191312211
cstA,35873,shift,5.0,0.007926331714540697
cueO,896,shift,5.0,0.00019797600468955662
cueR,348,shift,5.0,7.689246610710458e-05
curA,911,shift,5.0,0.00020129033512520766
cusA,95,shift,5.0,2.0990759425790042e-05
cusB,160,shift,5.0,3.5352857980277966e-05
cusC,2284,shift,5.0,0.0005046620476684679
cusF,164,shift,5.0,3.623667942978492e-05
cusR,445,shift,5.0,9.83251362576481e-05
cusS,151,shift,5.0,3.336425971888733e-05
cutA,64,shift,5.0,1.4141143192111186e-05
cutC,611,shift,5.0,0.00013500372641218647
cvpA,79,shift,5.0,1.7455473627762245e-05
cvrA,183,shift,5.0,4.043483131494292e-05
cyaA,1214,shift,5.0,0.00026823980992535907
cyaY,170,shift,5.0,3.756241160404534e-05
cybB,490,shift,5.0,0.00010826812756460127
cycA,2158,shift,5.0,0.00047682167200899906
cydA,2289,shift,5.0,0.0005057668244803517
cydB,1827,shift,5.0,0.00040368544706229905
cydC,118,shift,5.0,2.6072732760455e-05
cydD,103,shift,5.0,2.275840232480394e-05
cydX,291,shift,5.0,6.429801045163055e-05
cynR,27,shift,5.0,5.9657947841719064e-06
cynS,5,shift,5.0,1.1047768118836864e-06
cynT,4,shift,5.0,8.838214495069491e-07
cynX,19,shift,5.0,4.198151885158009e-06
cyoA,1613,shift,5.0,0.00035640099951367727
cyoB,1371,shift,5.0,0.00030292980181850684
cyoC,649,shift,5.0,0.0001434000301825025
cyoD,568,shift,5.0,0.00012550264582998679
cyoE,1504,shift,5.0,0.00033231686501461287
cysA,115,shift,5.0,2.5409866673324788e-05
cysB,215,shift,5.0,4.750540291099852e-05
cysC,69,shift,5.0,1.5245920003994872e-05
